,Código Nacional,Estado,Precio venta al público con IVA,Precio de referencia,Tratamiento de larga duración,Especial control médico
50,662119,ALTA,23.96,23.96,NO,NO
51,780700,ALTA,11.99,11.99,NO,NO
52,662120,ALTA,23.96,23.96,NO,NO
53,698209,BAJA POR NO COMERCIALIZAR,14.21,14.21,SI,NO
54,698208,BAJA POR NO COMERCIALIZAR,21.31,21.31,SI,NO
55,993204,ALTA,12.18,12.18,SI,NO
56,806554,ALTA,13.71,13.71,SI,NO
57,650888,ALTA,7.27,7.27,SI,NO
58,685563,ALTA,14.55,14.55,SI,NO
59,655891,ALTA,7.27,7.27,SI,NO
60,685600,ALTA,14.55,14.55,SI,NO
61,759324,ALTA,3.17,3.17,SI,NO
62,834259,ALTA,1.61,1.61,SI,NO
63,650896,BAJA GENERAL,1.61,1.61,SI,NO
64,850560,ALTA,1.61,1.61,SI,NO
65,750489,ALTA,1.84,1.84,NO,NO
66,673633,ALTA,1.84,1.84,NO,NO
67,661158,ALTA,1.84,1.84,NO,NO
68,930339,ALTA,1.84,1.84,NO,NO
69,683670,ALTA,2.34,2.34,SI,NO
70,680949,ALTA,7.74,7.74,NO,NO
71,680950,ALTA,15.49,15.49,NO,NO
72,684765,ALTA,9.65,9.65,NO,NO
73,696793,ALTA,19.29,19.29,NO,NO
74,654283,ALTA,10.1,10.1,NO,NO
75,654284,ALTA,10.1,10.1,NO,NO
76,674589,ALTA,20.18,20.18,NO,NO
77,674593,ALTA,20.18,20.18,NO,NO
78,661473,ALTA,23.96,23.96,NO,NO
79,679924,BAJA GENERAL,6.67,6.67,NO,NO
80,664795,ALTA,6.51,6.51,NO,NO
81,705291,BAJA GENERAL,7.84,7.84,NO,NO
82,650649,ALTA,12.47,12.47,NO,NO
83,661138,ALTA,5.62,5.62,NO,NO
84,661137,ALTA,11.24,11.24,NO,NO
85,980664,ALTA,6.35,6.35,SI,NO
86,672988,ALTA,9.52,9.52,NO,NO
87,672989,ALTA,9.52,9.52,NO,NO
88,673467,ALTA,7.87,7.87,NO,NO
89,654208,BAJA GENERAL,8.34,8.34,SI,NO
90,654207,BAJA GENERAL,4.17,4.17,SI,NO
91,660534,ALTA,8.34,8.34,SI,NO
92,660533,ALTA,4.17,4.17,SI,NO
93,663397,ALTA,5.84,5.84,NO,NO
94,659477,ALTA,2.92,2.92,NO,NO
95,672887,ALTA,5.84,5.84,NO,NO
96,661313,ALTA,5.84,5.84,NO,NO
97,661307,ALTA,2.92,2.92,NO,NO
98,671415,BAJA GENERAL,7.09,7.09,NO,NO
99,671419,BAJA GENERAL,14.17,14.17,NO,NO
100,678363,ALTA,7.09,7.09,NO,NO
101,678364,ALTA,14.17,14.17,NO,NO
102,678932,ALTA,7.09,7.09,NO,NO
103,678941,ALTA,14.17,14.17,NO,NO
104,693698,ALTA,15.61,15.61,NO,NO
105,710525,ALTA,5.04,5.04,NO,NO
106,710526,ALTA,10.08,10.08,NO,NO
107,710527,ALTA,20.17,20.17,NO,NO
108,714476,BAJA GENERAL,5.04,5.04,NO,NO
109,714475,BAJA GENERAL,10.08,10.08,NO,NO
110,714478,BAJA GENERAL,20.17,20.17,NO,NO
111,709201,ALTA,5.04,5.04,NO,NO
112,709213,ALTA,20.17,20.17,NO,NO
113,713544,ALTA,10.1,10.1,NO,NO
114,713546,ALTA,10.1,10.1,NO,NO
115,713547,ALTA,20.18,20.18,NO,NO
116,713548,ALTA,20.18,20.18,NO,NO
117,654054,ALTA,10.49,10.49,NO,NO
118,654039,ALTA,2.5,2.5,NO,NO
119,654047,ALTA,5.25,5.25,NO,NO
120,665229,ALTA,5.4,5.4,SI,NO
121,665230,ALTA,10.79,10.79,SI,NO
122,665231,ALTA,8.82,8.82,NO,NO
123,665233,ALTA,17.64,17.64,NO,NO
124,701402,ALTA,35.28,35.28,NO,NO
125,673133,ALTA,7.37,7.37,NO,NO
126,673132,ALTA,6.35,6.35,SI,NO
127,670278,ALTA,9.68,9.68,SI,NO
128,670264,ALTA,4.84,4.84,SI,NO
129,672991,ALTA,9.52,9.52,NO,NO
130,672990,ALTA,9.52,9.52,NO,NO
131,673475,ALTA,7.87,7.87,NO,NO
132,707062,ALTA,26.09,26.09,NO,NO
133,681412,ALTA,5.0,5.0,NO,NO
134,681413,ALTA,9.99,9.99,NO,NO
135,681418,ALTA,19.97,19.97,NO,NO
136,694385,ALTA,9.99,9.99,NO,NO
137,694386,ALTA,19.97,19.97,NO,NO
138,689249,ALTA,19.97,19.97,NO,NO
139,700184,BAJA GENERAL,9.68,9.68,NO,NO
140,700186,BAJA GENERAL,19.36,19.36,NO,NO
141,834069,ALTA,3.12,3.12,SI,NO
142,652854,ALTA,5.29,5.29,SI,NO
143,652852,ALTA,2.5,2.5,SI,NO
144,652853,ALTA,2.65,2.65,SI,NO
145,650152,ALTA,5.29,5.29,SI,NO
146,650151,ALTA,2.65,2.65,SI,NO
147,686725,ALTA,5.12,5.12,SI,NO
148,726398,ALTA,16.3,16.3,NO,NO
149,660013,ALTA,32.6,32.6,NO,NO
150,727388,ALTA,8.15,8.15,NO,NO
151,665506,ALTA,16.3,16.3,NO,NO
152,677396,ALTA,32.6,32.6,NO,NO
153,665507,ALTA,8.15,8.15,NO,NO
154,672809,ALTA,11.99,11.99,NO,NO
155,672807,ALTA,11.99,11.99,NO,NO
156,677420,ALTA,11.99,11.99,NO,NO
157,677418,ALTA,11.99,11.99,NO,NO
158,686830,ALTA,23.96,23.96,NO,NO
159,686831,ALTA,23.96,23.96,NO,NO
160,677416,ALTA,5.99,5.99,NO,NO
161,960336,ALTA,4.7,4.7,NO,NO
162,992818,ALTA,14.1,14.1,NO,NO
163,706509,ALTA,13.86,,NO,NO
164,706483,ALTA,22.2,,NO,NO
165,731007,ALTA,21.07,21.07,NO,NO
166,661139,ALTA,5.62,5.62,NO,NO
167,661141,ALTA,11.24,11.24,NO,NO
168,703152,ALTA,11.24,11.24,NO,NO
169,663361,ALTA,1.84,1.84,NO,NO
170,693734,ALTA,1.84,1.84,NO,NO
171,934570,ALTA,9.68,9.68,SI,NO
172,772681,ALTA,2.5,2.5,SI,NO
173,772665,ALTA,4.84,4.84,SI,NO
